service_number,unit_id,unit_posting,service,rank,age,years_of_service,surge_exposure,latent_strain,label_positive
SYNTH-CRPF-01-455510,CRPF-01,internal security duty,crpf,Constable,28,4,0.8802,0.206431,0
SYNTH-CRPF-01-465274,CRPF-01,internal security duty,crpf,Inspector,46,24,0.7544,0.106881,0
SYNTH-CRPF-01-998057,CRPF-01,internal security duty,crpf,Head Constable,31,7,0.4887,0.090259,0
SYNTH-CRPF-01-704953,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,37,13,0.5354,0.244315,0
SYNTH-CRPF-01-548760,CRPF-01,internal security duty,crpf,Sub-Inspector,41,18,0.1075,0.092117,0
SYNTH-CRPF-01-631837,CRPF-01,internal security duty,crpf,Constable,23,1,0.5111,0.068825,0
SYNTH-CRPF-01-583055,CRPF-01,internal security duty,crpf,Inspector,45,21,0.4418,0.298238,0
SYNTH-CRPF-01-800162,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,36,14,0.5972,0.207509,0
SYNTH-CRPF-01-473091,CRPF-01,internal security duty,crpf,Assistant Commandant,48,27,0.5891,0.730098,1
SYNTH-CRPF-01-124771,CRPF-01,internal security duty,crpf,Head Constable,32,9,0.3453,0.251178,0
SYNTH-CRPF-01-976873,CRPF-01,internal security duty,crpf,Sub-Inspector,40,19,0.5929,0.060726,0
SYNTH-CRPF-01-507676,CRPF-01,internal security duty,crpf,Head Constable,31,8,0.4462,0.109369,0
SYNTH-CRPF-01-239213,CRPF-01,internal security duty,crpf,Inspector,47,23,0.6289,0.158863,0
SYNTH-CRPF-01-552876,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,32,10,0.7561,0.146625,0
SYNTH-CRPF-01-582851,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,36,13,0.7612,0.217778,0
SYNTH-CRPF-01-719618,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,33,10,0.4276,0.033294,0
SYNTH-CRPF-01-451473,CRPF-01,internal security duty,crpf,Constable,24,2,0.7906,0.198693,0
SYNTH-CRPF-01-873879,CRPF-01,internal security duty,crpf,Head Constable,29,7,0.4458,0.100367,0
SYNTH-CRPF-01-362120,CRPF-01,internal security duty,crpf,Constable,25,2,0.9354,0.324619,0
SYNTH-CRPF-01-736301,CRPF-01,internal security duty,crpf,Head Constable,29,5,0.7419,0.205315,0
SYNTH-CRPF-01-128836,CRPF-01,internal security duty,crpf,Sub-Inspector,37,15,0.6515,0.237464,0
SYNTH-CRPF-01-445316,CRPF-01,internal security duty,crpf,Constable,27,4,0.6153,0.419609,0
SYNTH-CRPF-01-669793,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,30,10,0.5047,0.369532,0
SYNTH-CRPF-01-367039,CRPF-01,internal security duty,crpf,Constable,24,1,0.4317,0.367299,0
SYNTH-CRPF-01-117930,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,33,11,0.6823,0.347143,0
SYNTH-CRPF-01-655590,CRPF-01,internal security duty,crpf,Assistant Commandant,50,28,0.6763,0.208612,0
SYNTH-CRPF-01-307014,CRPF-01,internal security duty,crpf,Head Constable,32,8,0.7653,0.117014,0
SYNTH-CRPF-01-750550,CRPF-01,internal security duty,crpf,Head Constable,31,8,0.6124,0.093322,0
SYNTH-CRPF-01-865717,CRPF-01,internal security duty,crpf,Inspector,46,22,0.4522,0.298586,0
SYNTH-CRPF-01-515732,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,36,13,0.7314,0.208238,0
SYNTH-CRPF-01-628006,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,32,12,0.3405,0.252977,0
SYNTH-CRPF-01-102589,CRPF-01,internal security duty,crpf,Inspector,42,22,0.8277,0.236776,0
SYNTH-CRPF-01-188067,CRPF-01,internal security duty,crpf,Constable,22,2,0.695,0.265966,0
SYNTH-CRPF-01-123713,CRPF-01,internal security duty,crpf,Assistant Commandant,46,25,0.7071,0.037109,0
SYNTH-CRPF-01-270345,CRPF-01,internal security duty,crpf,Head Constable,28,6,0.4595,0.429809,0
SYNTH-CRPF-01-736632,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,33,12,0.7192,0.258007,0
SYNTH-CRPF-01-767254,CRPF-01,internal security duty,crpf,Constable,24,4,0.8107,0.094582,0
SYNTH-CRPF-01-147693,CRPF-01,internal security duty,crpf,Sub-Inspector,39,16,0.6625,0.287134,0
SYNTH-CRPF-01-621214,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,33,13,0.5548,0.310194,0
SYNTH-CRPF-01-567283,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,33,11,0.955,0.518471,0
SYNTH-CRPF-01-831045,CRPF-01,internal security duty,crpf,Inspector,44,20,0.8051,0.258516,0
SYNTH-CRPF-01-472623,CRPF-01,internal security duty,crpf,Head Constable,29,9,0.6912,0.281718,0
SYNTH-CRPF-01-126603,CRPF-01,internal security duty,crpf,Inspector,48,24,0.7431,0.551459,1
SYNTH-CRPF-01-647178,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,32,11,0.4948,0.36313,0
SYNTH-CRPF-01-515490,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,34,13,0.6061,0.503707,0
SYNTH-CRPF-01-582304,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,34,12,0.928,0.513836,0
SYNTH-CRPF-01-205605,CRPF-01,internal security duty,crpf,Inspector,48,24,0.1986,0.121971,0
SYNTH-CRPF-01-206423,CRPF-01,internal security duty,crpf,Assistant Commandant,51,27,0.8207,0.060312,0
SYNTH-CRPF-01-925617,CRPF-01,internal security duty,crpf,Assistant Commandant,47,26,0.6988,0.184647,0
SYNTH-CRPF-01-563937,CRPF-01,internal security duty,crpf,Head Constable,25,5,0.3772,0.053552,0
SYNTH-CRPF-01-738803,CRPF-01,internal security duty,crpf,Head Constable,31,7,0.9093,0.04732,0
SYNTH-CRPF-01-432300,CRPF-01,internal security duty,crpf,Head Constable,26,6,0.8962,0.216985,0
SYNTH-CRPF-01-771702,CRPF-01,internal security duty,crpf,Constable,21,1,0.5273,0.065413,0
SYNTH-CRPF-01-673781,CRPF-01,internal security duty,crpf,Assistant Commandant,48,28,0.4113,0.218227,0
SYNTH-CRPF-01-937377,CRPF-01,internal security duty,crpf,Sub-Inspector,40,18,0.7006,0.417135,0
SYNTH-CRPF-01-879734,CRPF-01,internal security duty,crpf,Constable,22,1,0.9113,0.119947,0
SYNTH-CRPF-01-817677,CRPF-01,internal security duty,crpf,Sub-Inspector,37,17,0.7695,0.172417,0
SYNTH-CRPF-01-616611,CRPF-01,internal security duty,crpf,Inspector,47,23,0.188,0.252459,0
SYNTH-CRPF-01-991356,CRPF-01,internal security duty,crpf,Inspector,46,23,0.4398,0.138371,0
SYNTH-CRPF-01-910652,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,34,12,0.12,0.108046,0
SYNTH-CRPF-01-303119,CRPF-01,internal security duty,crpf,Constable,26,2,0.8461,0.530539,0
SYNTH-CRPF-01-248032,CRPF-01,internal security duty,crpf,Sub-Inspector,39,16,0.9288,0.126303,0
SYNTH-CRPF-01-506241,CRPF-01,internal security duty,crpf,Assistant Commandant,47,26,0.6135,0.221215,0
SYNTH-CRPF-01-709263,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,36,12,0.4739,0.098608,0
SYNTH-CRPF-01-491622,CRPF-01,internal security duty,crpf,Assistant Commandant,47,26,0.8896,0.08272,0
SYNTH-CRPF-01-624777,CRPF-01,internal security duty,crpf,Constable,25,4,0.8386,0.222961,0
SYNTH-CRPF-01-394415,CRPF-01,internal security duty,crpf,Inspector,44,23,0.68,0.459652,0
SYNTH-CRPF-01-695998,CRPF-01,internal security duty,crpf,Head Constable,26,5,0.7505,0.329246,0
SYNTH-CRPF-01-159950,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,34,14,0.1546,0.249118,0
SYNTH-CRPF-01-622107,CRPF-01,internal security duty,crpf,Head Constable,30,8,0.3187,0.316561,0
SYNTH-CRPF-01-199856,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,37,13,0.8816,0.156652,0
SYNTH-CRPF-01-151155,CRPF-01,internal security duty,crpf,Assistant Commandant,49,26,0.9666,0.076333,0
SYNTH-CRPF-01-962635,CRPF-01,internal security duty,crpf,Head Constable,29,7,0.7743,0.37686,0
SYNTH-CRPF-01-132189,CRPF-01,internal security duty,crpf,Head Constable,25,5,0.841,0.396939,0
SYNTH-CRPF-01-338645,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,35,12,0.9076,0.095676,0
SYNTH-CRPF-01-243191,CRPF-01,internal security duty,crpf,Head Constable,31,7,0.7611,0.097138,0
SYNTH-CRPF-01-636757,CRPF-01,internal security duty,crpf,Inspector,43,20,0.6232,0.386631,0
SYNTH-CRPF-01-574283,CRPF-01,internal security duty,crpf,Assistant Commandant,51,28,0.9274,0.009183,0
SYNTH-CRPF-01-644727,CRPF-01,internal security duty,crpf,Inspector,43,20,0.9696,0.043309,0
SYNTH-CRPF-01-715262,CRPF-01,internal security duty,crpf,Sub-Inspector,38,15,0.4621,0.087327,0
SYNTH-CRPF-01-358656,CRPF-01,internal security duty,crpf,Constable,26,3,0.8628,0.468756,0
SYNTH-CRPF-01-656700,CRPF-01,internal security duty,crpf,Sub-Inspector,38,15,0.4955,0.257478,0
SYNTH-CRPF-01-593651,CRPF-01,internal security duty,crpf,Assistant Commandant,49,26,0.4468,0.054577,0
SYNTH-CRPF-01-216293,CRPF-01,internal security duty,crpf,Assistant Commandant,50,27,0.2562,0.182265,0
SYNTH-CRPF-01-527314,CRPF-01,internal security duty,crpf,Constable,26,3,0.7572,0.200257,0
SYNTH-CRPF-01-474667,CRPF-01,internal security duty,crpf,Assistant Commandant,48,26,0.7691,0.211403,0
SYNTH-CRPF-01-832372,CRPF-01,internal security duty,crpf,Inspector,40,20,0.842,0.300132,0
SYNTH-CRPF-01-815310,CRPF-01,internal security duty,crpf,Assistant Commandant,49,27,0.8656,0.168142,0
SYNTH-CRPF-01-754761,CRPF-01,internal security duty,crpf,Constable,24,1,0.6992,0.348539,0
SYNTH-CRPF-01-167629,CRPF-01,internal security duty,crpf,Head Constable,33,9,0.6594,0.22306,0
SYNTH-CRPF-01-718427,CRPF-01,internal security duty,crpf,Sub-Inspector,42,19,0.8792,0.140464,0
SYNTH-CRPF-01-604773,CRPF-01,internal security duty,crpf,Assistant Commandant,47,25,0.9015,0.358627,0
SYNTH-CRPF-01-729938,CRPF-01,internal security duty,crpf,Sub-Inspector,42,18,0.7621,0.16909,0
SYNTH-CRPF-01-756224,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,32,12,0.7304,0.365416,0
SYNTH-CRPF-01-451738,CRPF-01,internal security duty,crpf,Sub-Inspector,38,18,0.4171,0.134245,0
SYNTH-CRPF-01-844162,CRPF-01,internal security duty,crpf,Sub-Inspector,38,16,0.6806,0.167196,0
SYNTH-CRPF-01-580653,CRPF-01,internal security duty,crpf,Head Constable,29,6,0.596,0.057235,0
SYNTH-CRPF-01-284719,CRPF-01,internal security duty,crpf,Assistant Commandant,48,26,0.6831,0.220419,0
SYNTH-CRPF-01-762754,CRPF-01,internal security duty,crpf,Inspector,46,24,0.7939,0.482954,0
SYNTH-CRPF-01-795642,CRPF-01,internal security duty,crpf,Constable,27,3,0.8788,0.164556,0
SYNTH-CRPF-01-325702,CRPF-01,internal security duty,crpf,Head Constable,29,6,0.5624,0.393635,0
SYNTH-CRPF-01-141467,CRPF-01,internal security duty,crpf,Head Constable,27,7,0.6451,0.126063,0
SYNTH-CRPF-01-897343,CRPF-01,internal security duty,crpf,Assistant Commandant,48,25,0.8357,0.048426,0
SYNTH-CRPF-01-469842,CRPF-01,internal security duty,crpf,Assistant Commandant,50,26,0.5754,0.267085,0
SYNTH-CRPF-01-807326,CRPF-01,internal security duty,crpf,Assistant Commandant,47,25,0.3716,0.151661,0
SYNTH-CRPF-01-609082,CRPF-01,internal security duty,crpf,Head Constable,28,6,0.5127,0.342358,0
SYNTH-CRPF-01-106660,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,35,14,0.1944,0.166179,0
SYNTH-CRPF-01-705651,CRPF-01,internal security duty,crpf,Sub-Inspector,39,19,0.6876,0.231862,0
SYNTH-CRPF-01-611475,CRPF-01,internal security duty,crpf,Assistant Commandant,45,25,0.61,0.318062,0
SYNTH-CRPF-01-108044,CRPF-01,internal security duty,crpf,Inspector,46,23,0.6483,0.403096,0
SYNTH-CRPF-01-222999,CRPF-01,internal security duty,crpf,Assistant Commandant,48,27,0.7491,0.454762,0
SYNTH-CRPF-01-577281,CRPF-01,internal security duty,crpf,Head Constable,32,9,0.7772,0.19923,0
SYNTH-CRPF-01-918975,CRPF-01,internal security duty,crpf,Sub-Inspector,39,17,0.2311,0.286328,0
SYNTH-CRPF-01-649813,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,34,13,0.2673,0.177041,0
SYNTH-CRPF-01-484140,CRPF-01,internal security duty,crpf,Sub-Inspector,38,17,0.7429,0.343574,0
SYNTH-CRPF-01-104245,CRPF-01,internal security duty,crpf,Head Constable,26,6,0.2236,0.082766,0
SYNTH-CRPF-01-569243,CRPF-01,internal security duty,crpf,Assistant Commandant,51,28,0.8113,0.218553,0
SYNTH-CRPF-01-854607,CRPF-01,internal security duty,crpf,Inspector,47,23,0.4133,0.130589,0
SYNTH-CRPF-01-110151,CRPF-01,internal security duty,crpf,Assistant Commandant,47,25,0.5537,0.080324,0
SYNTH-CRPF-01-930909,CRPF-01,internal security duty,crpf,Head Constable,29,8,0.7051,0.469501,0
SYNTH-CRPF-01-273415,CRPF-01,internal security duty,crpf,Assistant Commandant,49,25,0.844,0.432526,0
SYNTH-CRPF-01-861647,CRPF-01,internal security duty,crpf,Sub-Inspector,41,17,0.5418,0.133366,0
SYNTH-CRPF-01-470063,CRPF-01,internal security duty,crpf,Constable,23,2,0.9171,0.209551,0
SYNTH-CRPF-01-597353,CRPF-01,internal security duty,crpf,Inspector,42,22,0.7406,0.078411,0
SYNTH-CRPF-01-398737,CRPF-01,internal security duty,crpf,Constable,24,3,0.2572,0.033935,0
SYNTH-CRPF-01-717918,CRPF-01,internal security duty,crpf,Sub-Inspector,43,19,0.947,0.339912,0
SYNTH-CRPF-01-246532,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,32,12,0.8944,0.119059,0
SYNTH-CRPF-01-742992,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,30,10,0.2736,0.123739,0
SYNTH-CRPF-01-865163,CRPF-01,internal security duty,crpf,Assistant Commandant,49,26,0.5305,0.09817,0
SYNTH-CRPF-01-966380,CRPF-01,internal security duty,crpf,Inspector,45,24,0.8869,0.363245,0
SYNTH-CRPF-01-391839,CRPF-01,internal security duty,crpf,Assistant Commandant,50,28,0.1194,0.242174,0
SYNTH-CRPF-01-668662,CRPF-01,internal security duty,crpf,Head Constable,27,7,0.3087,0.350989,0
SYNTH-CRPF-01-472369,CRPF-01,internal security duty,crpf,Constable,28,4,0.5278,0.215832,0
SYNTH-CRPF-01-128517,CRPF-01,internal security duty,crpf,Sub-Inspector,41,17,0.7463,0.491337,0
SYNTH-CRPF-01-948893,CRPF-01,internal security duty,crpf,Sub-Inspector,35,15,0.7401,0.19128,0
SYNTH-CRPF-01-916568,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,36,12,0.8951,0.299833,0
SYNTH-CRPF-01-430355,CRPF-01,internal security duty,crpf,Sub-Inspector,39,17,0.7991,0.056994,0
SYNTH-CRPF-01-446360,CRPF-01,internal security duty,crpf,Assistant Sub-Inspector,34,11,0.2122,0.025465,0
SYNTH-CRPF-01-917928,CRPF-01,internal security duty,crpf,Sub-Inspector,43,19,0.5209,0.342435,0
SYNTH-CRPF-01-375001,CRPF-01,internal security duty,crpf,Inspector,45,21,0.8757,0.170203,0
SYNTH-CRPF-02-955601,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,52,28,0.7472,0.331668,0
SYNTH-CRPF-02-914543,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,37,16,0.5172,0.34393,0
SYNTH-CRPF-02-833152,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,37,14,0.3979,0.377016,0
