service_number,unit_id,domain,observed_on,value_normalised,raw_kind
SYNTH-CRPF-01-455510,CRPF-01,leave,2026-09-05,0.7353,leave_denied_rate
SYNTH-CRPF-01-455510,CRPF-01,deployment,2026-09-05,0.2993,days_deployed_away_from_station
SYNTH-CRPF-01-455510,CRPF-01,duty_roster,2026-09-05,0.5918,consecutive_duty_days
SYNTH-CRPF-01-455510,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-455510,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-455510,CRPF-01,workload,2026-09-05,0.5475,duty_hours_over_establishment
SYNTH-CRPF-01-465274,CRPF-01,leave,2026-09-05,0.7233,leave_denied_rate
SYNTH-CRPF-01-465274,CRPF-01,deployment,2026-09-05,0.2565,days_deployed_away_from_station
SYNTH-CRPF-01-465274,CRPF-01,duty_roster,2026-09-05,0.7185,consecutive_duty_days
SYNTH-CRPF-01-465274,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-465274,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-465274,CRPF-01,workload,2026-09-05,0.6545,duty_hours_over_establishment
SYNTH-CRPF-01-465274,CRPF-01,self_report,2026-09-05,0.1925,instrument_score_normalised
SYNTH-CRPF-01-998057,CRPF-01,leave,2026-09-05,0.3642,leave_denied_rate
SYNTH-CRPF-01-998057,CRPF-01,deployment,2026-09-05,0.1662,days_deployed_away_from_station
SYNTH-CRPF-01-998057,CRPF-01,duty_roster,2026-09-05,0.4287,consecutive_duty_days
SYNTH-CRPF-01-998057,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-998057,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-998057,CRPF-01,workload,2026-09-05,0.3964,duty_hours_over_establishment
SYNTH-CRPF-01-998057,CRPF-01,self_report,2026-09-05,0.3095,instrument_score_normalised
SYNTH-CRPF-01-704953,CRPF-01,leave,2026-09-05,0.5132,leave_denied_rate
SYNTH-CRPF-01-704953,CRPF-01,deployment,2026-09-05,0.182,days_deployed_away_from_station
SYNTH-CRPF-01-704953,CRPF-01,duty_roster,2026-09-05,0.5116,consecutive_duty_days
SYNTH-CRPF-01-704953,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-704953,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-704953,CRPF-01,workload,2026-09-05,0.4502,duty_hours_over_establishment
SYNTH-CRPF-01-704953,CRPF-01,self_report,2026-09-05,0.4315,instrument_score_normalised
SYNTH-CRPF-01-548760,CRPF-01,leave,2026-09-05,0.2275,leave_denied_rate
SYNTH-CRPF-01-548760,CRPF-01,deployment,2026-09-05,0.0365,days_deployed_away_from_station
SYNTH-CRPF-01-548760,CRPF-01,duty_roster,2026-09-05,0.3215,consecutive_duty_days
SYNTH-CRPF-01-548760,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-548760,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-548760,CRPF-01,workload,2026-09-05,0.4195,duty_hours_over_establishment
SYNTH-CRPF-01-548760,CRPF-01,biometric,2026-09-05,0.1978,resting_heart_rate_trend
SYNTH-CRPF-01-631837,CRPF-01,leave,2026-09-05,0.432,leave_denied_rate
