leave_mean_7d,leave_mean_30d,leave_mean_90d,leave_mean_180d,deployment_mean_7d,deployment_mean_30d,deployment_mean_90d,deployment_mean_180d,duty_roster_mean_7d,duty_roster_mean_30d,duty_roster_mean_90d,duty_roster_mean_180d,transfer_mean_7d,transfer_mean_30d,transfer_mean_90d,transfer_mean_180d,training_mean_7d,training_mean_30d,training_mean_90d,training_mean_180d,workload_mean_7d,workload_mean_30d,workload_mean_90d,workload_mean_180d,self_report_mean_7d,self_report_mean_30d,self_report_mean_90d,self_report_mean_180d,biometric_mean_7d,biometric_mean_30d,biometric_mean_90d,biometric_mean_180d,voice_mean_7d,voice_mean_30d,voice_mean_90d,voice_mean_180d,leave_slope,deployment_slope,duty_roster_slope,transfer_slope,training_slope,workload_slope,self_report_slope,biometric_slope,voice_slope,age_band,deployed,rank,unit_kind,label
0.479071,0.39155,0.345642,0.330449,0.0,0.0,0.0,0.027778,0.501486,0.40019,0.41733,0.374293,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.517529,0.445663,0.400127,0.375727,0.5178,0.5178,0.512503,0.445544,0.310771,0.3266,0.344367,0.345021,0.0,0.0,0.0,0.0,0.148622,-0.027778,0.127193,0.0,0.0,0.141802,0.072256,-0.03425,0.0,under-30,static,Head Constable,law and order deployment,0
0.4272,0.445353,0.425044,0.390018,0.0,0.0,0.0,0.0,0.380057,0.39365,0.373381,0.381869,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.4261,0.385467,0.31069,0.330198,0.3027,0.35077,0.405887,0.437371,0.342657,0.329193,0.356617,0.360983,0.0,0.0,0.0,0.0,0.037182,0.0,-0.001812,0.0,0.0,0.095902,-0.134671,-0.018326,0.0,under-30,static,Head Constable,group centre,0
0.532014,0.455373,0.490124,0.46218,0.0,0.0,0.0,0.233333,0.415586,0.4777,0.455148,0.434841,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.390314,0.45077,0.476298,0.476329,0.0,0.0,0.0,0.0,0.3815,0.390977,0.425014,0.430777,0.0,0.0,0.0,0.0,0.069834,-0.233333,-0.019255,0.0,0.0,-0.086015,0.0,-0.049277,0.0,under-30,static,Head Constable,left-wing extremism area,0
0.452529,0.51414,0.486608,0.478792,0.0,0.0,0.0,0.0,0.47,0.449217,0.439966,0.463257,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.5068,0.545573,0.512804,0.506144,0.6362,0.6362,0.62896,0.634898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026263,0.0,0.006743,0.0,0.0,0.000656,0.001302,0.0,0.0,under-30,static,Constable,group centre,0
0.3371,0.301573,0.349239,0.342133,0.0,0.0,0.0,0.038889,0.5079,0.39228,0.34698,0.371793,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.431457,0.309033,0.368314,0.353938,0.3185,0.3185,0.411062,0.392844,0.307243,0.315643,0.336508,0.336556,0.0,0.0,0.0,0.0,-0.005033,-0.038889,0.136107,0.0,0.0,0.077519,-0.074344,-0.029313,0.0,30-39,static,Assistant Sub-Inspector,law and order deployment,0
0.410086,0.376557,0.412647,0.401844,0.0,0.0,0.0,0.205556,0.5115,0.465123,0.45455,0.448807,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.5265,0.491267,0.507862,0.483493,0.2729,0.425567,0.524656,0.537439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008241,-0.205556,0.062693,0.0,0.0,0.043007,-0.264539,0.0,0.0,under-30,static,Constable,left-wing extremism area,0
0.561386,0.52909,0.463918,0.447862,0.857143,0.966667,0.444444,0.222222,0.415314,0.371167,0.461857,0.446611,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.077778,0.5815,0.468843,0.435909,0.43145,0.5489,0.56961,0.59857,0.542117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113524,0.634921,-0.031296,0.0,-0.077778,0.15005,0.006783,0.0,0.0,30-39,static,Assistant Sub-Inspector,internal security duty,0
0.2762,0.3651,0.409386,0.373563,0.0,0.0,0.4,0.2,0.345586,0.37492,0.360382,0.37656,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.077778,0.3954,0.357383,0.369911,0.35769,0.3769,0.3769,0.422443,0.396185,0.3454,0.341893,0.380644,0.371295,0.0,0.0,0.0,0.0,-0.097363,-0.2,-0.030974,0.0,-0.077778,0.03771,-0.019285,-0.025895,0.0,40-plus,static,Assistant Commandant,internal security duty,0
0.220743,0.240493,0.302888,0.334947,0.0,0.0,0.322222,0.161111,0.1939,0.36327,0.361234,0.366292,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.537571,0.404653,0.345972,0.337491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.114204,-0.161111,-0.172392,0.0,0.0,0.200081,0.0,0.0,0.0,40-plus,static,Assistant Commandant,law and order deployment,0
0.4008,0.274273,0.339293,0.316299,0.0,0.0,0.0,0.0,0.407171,0.272723,0.256252,0.296874,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.295271,0.35168,0.349432,0.344339,0.0,0.0,0.0,0.0,0.297143,0.285563,0.311256,0.310199,0.0,0.0,0.0,0.0,0.084501,0.0,0.110297,0.0,0.0,-0.049068,0.0,-0.013056,0.0,under-30,static,Head Constable,group centre,0
